"s.no","helpfulVoteCount","rating","reviewPosition","verifiedPurchase","sentiment_score","Membership_Years_x","Availability_Code","Age","Membership_Years_y","Login_Frequency","Session_Duration_Avg","Pages_Per_Session","Cart_Abandonment_Rate","Wishlist_Items","Total_Purchases","Average_Order_Value","Days_Since_Last_Purchase","Discount_Usage_Rate","Returns_Rate","Email_Open_Rate","Customer_Service_Calls","Product_Reviews_Written","Social_Media_Engagement_Score","Mobile_App_Usage","Payment_Method_Diversity","Lifetime_Value","Credit_Balance","Churned","Gender","Sentiment_Label"
"1964","2","5.0","9","True","0.0","2.7","2","40","2.7","22.0","43.8","16.9","17.3","9","31.2","74.95","5","22.8","3.2","47.1","1","5","52.9","38.0","4","1908.59","2882","0","Male","Neutral"
"1965","0","4.0","10","True","0.505555556","0.7","0","22","0.7","5.0","21.2","6.5","65.5","1","7.0","124.19","17","69.4","4.8","28.1","7","1","29.7","11.1","2","1017.18","1726","0","Female","Positive"
"1966","0","5.0","1","True","0.25","0.8","0","42","0.8","0.0","4.1","6.8","83.1","0","7.8","138.32","20","33.48","16.5","11.5","9","1","9.3","11.9","3","676.05","2834","1","Male","Positive"
"1972","0","5.0","7","True","0.5","1.1","0","41","1.1","0.0","14.1","4.6","68.3","1","6.0","120.12","37","19.1","2.5","0.0","3","2","40.2","11.5","3","797.79","1987","0","Female","Positive"
"1973","0","3.0","8","True","0.15","6.7","2","58","6.7","14.0","37.4","8.3","45.1","6","21.0","234.85","186","20.8","11.3","42.5","5","4","55.5","26.7","1","5469.48","2709","0","Male","Positive"
"1974","0","4.0","9","True","0.214444444","4.4","2","40","4.4","3.0","25.2","9.7","46.5","3","10.0","66.23","4","8.9","3.1","7.0","3","4","18.3","25.5","3","584.39","2087","0","Female","Positive"
"1975","0","5.0","10","True","1.0","1.6","1","69","1.6","6.0","27.9","8.5","64.6","4","12.0","195.1","11","24.1","14.2","10.8","12","4","16.2","11.9","2","2582.8","4149","1","Male","Positive"
"1976","2","5.0","1","True","0.281568627","0.2","0","44","0.2","6.0","10.3","7.3","70.7","1","2.0","73.8","20","4.9","2.5","24.7","6","0","5.2","8.3","2","141.35","0","0","Female","Positive"
"1977","8","5.0","2","True","0.150555556","3.4","2","18","3.4","17.0","33.4","8.2","42.3","7","13.0","74.25","5","62.2","7.1","10.6","11","1","33.8","16.2","1","1073.55","2565","0","Male","Positive"
"1983","0","5.0","8","True","0.2","2.6","2","23","2.6","24.0","25.7","15.0","52.3","7","16.0","77.28","52","46.4","2.5","2.9","2","4","24.8","16.6","1","1164.91","2639","0","Female","Positive"
"1986","0","5.0","1","True","0.49375","3.1","2","31","3.1","10.0","20.4","6.2","65.1","3","10.0","142.37","23","20.9","2.9","18.7","3","5","10.5","22.7","5","1409.01","2361","0","Male","Positive"
"1990","0","5.0","5","True","0.666666667","1.4","0","23","1.4","8.0","14.9","7.3","43.6","5","10.4","106.74","27","58.68","12.4","16.5","3","3","10.0","15.1","2","716.19","380","0","Male","Positive"
"1998","0","4.0","3","True","0.7","5.4","2","36","5.4","12.0","20.8","5.2","66.5","0","7.0","135.06","30","37.7","4.6","8.1","4","1","29.2","9.2","1","857.81","556","0","Female","Positive"
"1999","0","5.0","4","True","0.272222222","1.4","0","43","1.4","3.0","20.6","8.8","66.5","1","11.0","79.39","12","5.0","9.7","16.0","4","3","33.0","19.7","1","924.33","964","0","Male","Positive"
"2009","0","5.0","4","True","0.475","3.9","2","18","3.9","10.0","28.5","7.5","66.4","3","9.1","85.47","1","31.32","1.2","22.8","4","1","7.6","16.7","2","663.17","2716","0","Female","Positive"
"2010","0","5.0","5","True","0.2","0.6","0","19","0.6","6.0","31.0","7.1","73.6","4","21.0","189.27","7","66.8","16.3","36.8","3","4","44.7","27.5","4","3492.97","2633","0","Male","Positive"
"2013","0","4.0","8","True","0.235714286","7.0","2","68","7.0","10.0","34.1","6.2","59.2","3","12.0","45.44","19","35.6","3.2","19.0","5","2","16.4","26.5","2","537.24","1126","0","Male","Positive"
"2015","2","5.0","10","True","0.142857143","4.2","2","40","4.2","0.0","22.0","9.8","72.1","1","7.0","135.3","11","14.4","1.5","0.0","7","0","8.2","22.1","3","1037.07","0","0","Female","Positive"
"2016","0","5.0","1","True","0.112037037","2.6","2","56","2.6","10.0","16.3","7.7","58.5","5","11.0","142.61","18","5.5","2.2","0.0","8","7","47.8","20.9","3","1788.03","2573","0","Female","Positive"
"2019","0","5.0","4","True","0.3","0.8","0","52","0.8","21.0","33.3","11.1","61.5","5","26.0","190.68","1","59.7","5.9","32.0","5","3","59.2","25.3","2","4958.71","3333","0","Female","Positive"
"2020","3","3.0","5","True","0.383333333","2.1","1","50","2.1","20.0","52.1","10.1","34.4","7","18.0","168.04","27","46.6","0.8","33.9","3","7","37.7","33.2","3","3592.22","4364","0","Male","Positive"
"2021","0","5.0","6","True","0.502083333","3.6","2","45","3.6","11.0","25.7","9.3","53.4","5","12.0","83.64","14","46.0","7.1","26.8","5","3","32.7","23.1","2","959.93","1332","0","Female","Positive"
"2025","0","4.0","10","True","0.006107955","0.8","0","37","0.8","4.0","17.6","6.2","52.7","2","11.0","173.79","11","36.8","11.1","6.9","6","5","0.0","7.7","1","2102.38","2399","1","Male","Neutral"
"2026","0","5.0","1","True","0.2125","1.8","1","35","1.8","9.0","25.1","6.4","94.8","4","4.0","125.59","93","35.9","7.8","30.0","7","0","38.6","14.1","3","566.29","595","1","Male","Positive"
"2027","0","5.0","2","True","0.366666667","2.3","1","32","2.3","19.0","31.3","14.9","42.2","4","14.0","134.79","8","13.2","9.1","32.6","4","7","56.8","35.0","2","1685.42","1940","0","Male","Positive"
"2030","0","5.0","5","True","0.177083333","5.9","2","39","5.9","8.0","31.7","7.1","47.8","5","10.0","94.36","1","30.5","6.9","15.6","8","4","28.8","19.9","2","930.4","1862","0","Female","Positive"
"2039","0","4.0","4","True","0.041560847","3.0","2","45","3.0","11.0","12.9","6.1","70.5","1","20.0","114.97","31","18.2","6.7","22.8","5","3","12.9","15.9","4","2628.17","1360","0","Male","Neutral"
"2040","0","5.0","5","True","0.2","2.1","1","25","2.1","12.0","25.4","6.3","81.5","5","10.0","65.11","39","27.9","2.9","27.1","8","3","33.1","19.6","2","739.22","1884","0","Male","Positive"
"2041","0","3.0","6","True","0.65","0.3","0","60","0.3","7.0","22.8","5.1","59.2","2","8.0","60.34","16","65.5","3.1","5.0","6","2","47.2","10.4","2","433.59","421","0","Male","Positive"
"2046","2","5.0","1","True","0.202708333","5.0","2","33","5.0","0.0","12.7","5.1","70.8","3","6.0","107.24","9","44.7","4.6","22.3","4","1","8.6","9.5","2","637.68","281","0","Male","Positive"
"2057","0","3.0","7","True","-0.25","0.8","0","18","0.8","9.0","28.0","3.9","55.3","4","16.9","87.37","93","48.84","3.6","24.1","9","4","26.6","5.0","1","967.1","0","0","Other","Negative"
"2064","5","5.0","4","True","0.646428571","4.1","2","57","4.1","0.0","18.1","3.3","59.3","2","9.0","87.98","16","11.2","1.5","19.4","6","4","0.0","4.3","2","760.91","330","0","Female","Positive"
"2066","3","3.0","6","True","0.305555556","1.3","0","30","1.3","34.0","56.6","19.4","14.7","10","46.8","117.96","12","61.2","4.5","41.3","0","3","56.4","52.9","1","3628.13","3200","0","Male","Positive"
"2067","3","5.0","7","True","0.475","1.3","0","43","1.3","13.0","25.3","9.3","48.5","3","16.9","40.45","38","24.24","16.3","33.8","7","4","62.3","22.9","4","613.72","2062","0","Female","Positive"
"2068","0","5.0","8","True","0.562337662","6.5","2","26","6.5","5.0","16.7","7.1","72.8","3","8.0","47.45","13","29.5","5.6","0.0","5","3","24.1","11.4","1","364.7","0","0","Male","Positive"
"2070","0","4.0","10","True","0.205102041","5.7","2","47","5.7","20.0","40.2","11.4","51.3","9","16.0","176.06","21","57.4","0.3","26.1","6","3","34.8","22.7","1","3000.64","3315","1","Male","Positive"
"2071","0","5.0","1","True","0.36","3.2","2","52","3.2","8.0","14.7","14.8","65.3","0","8.0","200.66","8","46.0","7.6","14.0","9","2","14.7","19.3","4","1428.25","2239","0","Female","Positive"
"2074","0","4.0","4","True","0.45","8.5","2","27","8.5","15.0","31.8","10.8","43.3","8","15.6","120.19","4","62.28","4.9","46.8","5","2","16.9","23.5","3","1649.48","2253","0","Male","Positive"
"2075","0","5.0","5","True","0.0","3.9","2","28","3.9","6.0","18.2","6.2","65.6","2","7.0","65.32","24","55.9","1.7","26.0","7","2","24.6","3.1","1","421.11","1767","0","Male","Neutral"
"2076","0","1.0","6","True","-0.4","6.1","2","35","6.1","15.0","31.4","11.3","56.3","6","11.0","137.48","46","20.1","8.7","33.6","6","3","15.8","29.0","1","1292.92","3053","1","Female","Negative"
"2080","0","5.0","10","True","0.0","1.3","0","55","1.3","8.0","29.4","12.1","55.6","7","10.0","185.24","38","17.6","9.6","18.9","4","4","57.5","17.3","2","1899.43","1824","0","Female","Neutral"
"2081","0","5.0","1","True","0.35","1.1","0","34","1.1","7.0","23.7","4.3","80.8","2","9.1","153.8","25","28.44","2.4","20.4","7","1","16.4","18.8","3","1194.09","1415","0","Female","Positive"
"2083","0","5.0","3","True","0.3","7.0","2","29","7.0","27.0","54.2","15.7","28.2","10","26.0","127.19","10","14.5","7.4","42.7","5","5","49.6","37.5","2","3204.37","2492","0","Female","Positive"
"2086","0","5.0","6","True","0.35","1.5","0","46","1.5","0.0","23.1","8.2","47.9","4","9.1","129.76","24","25.56","20.9","10.5","7","3","22.6","13.8","2","867.67","863","0","Female","Positive"
"2087","0","5.0","7","True","0.457142857","6.1","2","34","6.1","10.0","16.1","7.9","72.3","3","9.0","142.45","15","53.3","11.3","13.8","8","1","37.6","5.5","3","1147.76","1455","0","Female","Positive"
"2092","0","5.0","2","True","0.27","3.3","2","47","3.3","18.0","27.1","14.4","57.7","2","12.0","81.05","20","70.7","13.9","34.5","2","2","56.8","23.0","3","802.28","1503","0","Female","Positive"
"2093","0","4.0","3","True","0.2825","2.0","1","22","2.0","6.0","25.2","12.6","43.5","4","10.4","63.66","46","37.08","13.9","10.3","7","2","30.4","12.3","2","595.09","2085","0","Female","Positive"
"2094","0","5.0","4","True","0.16","2.2","1","41","2.2","0.0","10.3","5.6","72.2","0","7.8","124.42","0","79.68","4.9","21.6","8","0","1.5","5.7","2","682.46","1061","0","Male","Positive"
"2095","0","5.0","5","True","0.5","1.8","1","21","1.8","19.0","18.6","6.7","51.8","4","9.0","109.14","33","25.4","8.7","22.3","4","3","57.4","15.7","3","1152.97","2648","1","Male","Positive"
"2099","0","4.0","9","True","0.3825","4.0","2","51","4.0","1.0","18.5","4.2","84.5","4","11.7","211.59","7","50.52","12.4","29.1","4","0","42.1","14.0","3","2094.59","653","0","Male","Positive"
"2102","3","5.0","2","True","0.301666667","1.5","0","40","1.5","17.0","25.5","7.8","53.5","1","25.0","147.83","15","23.1","3.2","6.6","9","2","39.0","27.2","1","3789.46","715","1","Female","Positive"
"2103","0","4.0","3","True","0.267857143","5.8","2","51","5.8","0.0","13.6","1.0","74.9","2","10.0","144.35","41","20.2","8.7","7.2","4","0","0.2","3.1","3","1520.76","103","1","Male","Positive"
"2104","0","2.0","4","True","0.1875","1.2","0","25","1.2","19.0","30.5","9.5","60.8","4","8.0","68.51","51","51.1","1.7","15.4","4","1","34.7","19.3","3","477.28","1949","0","Male","Positive"
"2108","0","5.0","1","True","0.129004329","5.9","2","40","5.9","11.0","32.2","9.8","39.6","4","13.0","69.22","26","24.6","4.1","22.2","4","2","13.4","21.1","3","871.61","1993","0","Male","Positive"
"2115","0","5.0","8","True","0.7","1.7","1","48","1.7","11.0","27.0","4.2","44.5","3","14.3","120.62","2","74.28","3.8","12.8","6","1","0.0","10.1","2","1325.32","1568","0","Female","Positive"
"2117","0","3.0","10","True","0.316071429","3.2","2","25","3.2","6.0","27.1","8.9","63.1","5","14.0","89.53","64","13.6","5.1","25.0","4","2","10.2","20.2","3","1405.61","3058","0","Male","Positive"
"2122","0","5.0","5","True","0.4","4.1","2","35","4.1","0.0","20.5","5.2","74.8","0","9.1","154.61","61","103.8","1.0","0.0","6","1","27.5","12.7","2","1127.71","23","1","Male","Positive"
"2123","0","4.0","6","False","0.059090909","3.2","2","54","3.2","15.0","27.2","9.3","56.4","6","16.0","164.89","80","36.6","1.7","33.3","3","7","21.0","25.1","2","3089.06","1887","1","Female","Neutral"
"2124","0","5.0","7","True","0.5","4.3","2","30","4.3","18.0","26.9","12.7","68.0","2","10.0","59.19","10","42.1","6.3","31.4","5","3","28.7","20.0","3","530.18","2057","0","Male","Positive"
"2127","0","4.0","10","False","0.25","3.7","2","26","3.7","20.0","21.5","11.1","63.4","6","13.0","139.58","52","34.5","15.8","14.0","8","1","15.6","19.2","3","2061.93","3692","1","Male","Positive"
"2128","3","5.0","1","True","0.235416667","1.3","0","39","1.3","6.0","14.6","4.4","88.4","1","3.0","171.69","48","73.8","2.7","0.0","5","1","40.0","1.3","1","416.26","2102","1","Female","Positive"
"2132","0","5.0","5","True","0.45","1.7","1","34","1.7","19.0","35.1","12.6","54.7","2","16.9","41.18","36","78.0","1.7","32.8","7","3","34.7","24.3","2","576.91","3241","0","Female","Positive"
"2135","0","5.0","8","True","0.6","4.6","2","37","4.6","12.0","29.9","6.6","48.1","4","14.0","101.98","56","42.5","0.9","29.2","7","3","48.2","22.2","2","1335.25","0","0","Female","Positive"
"2136","0","5.0","9","True","0.525","1.8","1","35","1.8","8.0","25.7","7.8","68.4","10","11.0","97.78","41","69.6","1.3","12.7","4","2","32.2","12.8","5","998.07","1197","0","Female","Positive"
"2137","0","5.0","10","True","0.483333333","2.7","2","75","2.7","13.0","24.4","12.8","48.5","4","11.0","174.1","52","49.2","6.0","25.0","6","1","47.1","22.9","2","1946.89","4669","1","Female","Positive"
"2139","6","5.0","2","True","0.170414079","4.8","2","28","4.8","12.0","33.3","11.5","53.2","6","12.0","94.58","89","60.6","2.2","36.8","7","3","35.5","22.0","3","920.49","1926","0","Female","Positive"
"2142","2","3.0","5","True","0.375","1.3","0","39","1.3","6.0","16.8","7.5","47.9","2","12.0","92.3","15","21.0","3.0","5.5","2","0","18.6","13.1","3","1201.92","1185","0","Female","Positive"
"2144","0","5.0","7","True","0.220614035","2.9","2","49","2.9","9.0","14.7","6.8","56.5","0","13.0","131.15","4","51.6","23.2","9.8","8","0","0.0","13.4","1","1435.03","1212","0","Female","Positive"
"2147","0","5.0","10","True","0.408333333","1.8","1","50","1.8","11.0","23.9","5.9","61.5","3","16.0","111.71","2","15.1","4.6","27.5","6","2","29.2","23.1","2","1683.32","3222","0","Female","Positive"
"2150","0","4.0","3","True","0.173076923","3.3","2","38","3.3","7.0","20.9","8.2","55.6","2","13.0","146.46","119","67.08","7.9","12.3","7","4","35.6","11.1","3","1649.17","231","1","Female","Positive"
"2162","0","5.0","5","True","0.6","6.2","2","38","6.2","6.0","20.9","4.0","58.7","1","9.0","130.44","1","53.1","0.4","10.2","3","1","36.5","7.1","2","1341.96","1600","0","Female","Positive"
"2164","0","5.0","7","True","0.7","2.4","1","37","2.4","4.0","25.2","11.4","62.4","2","14.0","80.1","19","25.8","0.1","24.3","6","2","11.5","12.4","4","1170.28","1491","0","Male","Positive"
"2165","0","1.0","8","True","0.25","2.3","1","43","2.3","6.0","26.8","5.4","80.1","2","6.0","127.21","6","33.9","7.0","22.8","5","2","21.4","13.2","1","784.55","215","0","Female","Positive"
"2166","0","3.0","9","True","-0.019047619","1.9","1","25","1.9","17.0","34.7","4.9","58.6","3","14.3","246.92","146","49.32","7.7","31.0","6","4","30.4","13.5","2","3142.46","3360","1","Female","Neutral"
"2175","2","4.0","8","True","0.16961039","0.5","0","33","0.5","23.0","47.6","16.7","25.1","12","26.0","137.24","68","72.2","2.7","39.7","1","6","71.2","38.0","4","4032.9","3370","0","Male","Positive"
"2176","0","3.0","9","True","0.044285714","3.2","2","42","3.2","16.0","21.1","10.0","75.2","2","14.0","145.96","36","8.0","15.8","49.1","8","4","29.8","18.7","5","2230.36","3254","1","Female","Neutral"
"2178","15","5.0","1","True","0.265210319","4.3","2","40","4.3","9.0","21.8","10.6","38.9","7","12.0","96.37","8","48.1","1.3","12.0","6","5","21.7","23.0","1","973.12","3852","0","Female","Positive"
"2193","0","3.0","6","True","0.134027778","2.1","1","33","2.1","2.0","21.6","6.6","55.9","5","9.0","108.01","22","61.2","1.9","16.5","8","5","28.8","10.5","1","959.41","1621","0","Male","Positive"
"2197","0","5.0","10","True","0.325","1.0","0","34","1.0","18.0","15.4","3.0","56.1","3","6.0","141.87","176","3.3","7.1","29.8","6","3","12.4","6.5","4","961.03","961","0","Male","Positive"
"2198","8","5.0","1","True","0.238095238","1.6","1","52","1.6","23.0","33.6","12.7","38.4","7","18.0","193.25","23","47.9","6.8","39.1","4","3","29.8","26.2","4","4160.45","4960","0","Male","Positive"
"2202","0","5.0","5","True","0.383333333","10.0","2","42","10.0","16.0","42.5","9.9","67.4","6","17.0","116.62","32","38.7","6.8","31.7","3","7","18.0","17.0","2","2356.37","2094","0","Male","Positive"
"2205","0","5.0","8","True","0.28","4.4","2","41","4.4","11.0","38.0","16.1","41.1","4","14.0","148.15","15","44.3","1.9","39.6","6","4","35.3","31.1","1","1857.5","1114","0","Male","Positive"
"2207","0","4.0","10","True","0.2","0.7","0","52","0.7","0.0","11.5","3.5","78.9","0","2.0","210.43","3","50.2","3.6","18.6","9","0","0.0","17.1","1","382.41","2208","0","Female","Positive"
"2212","0","3.0","5","True","0.325","1.8","1","45","1.8","0.0","9.4","7.1","65.1","0","6.0","142.13","50","12.2","6.9","10.0","7","0","13.8","2.1","2","933.27","1556","1","Female","Positive"
"2213","3","4.0","6","True","0.286507937","4.9","2","32","4.9","16.0","26.6","11.3","41.1","5","27.3","127.27","138","61.68","0.2","23.2","8","4","46.4","14.5","2","2668.11","2815","1","Male","Positive"
"2214","0","5.0","7","True","0.65","0.3","0","48","0.3","13.0","32.4","7.4","53.0","6","15.0","89.27","20","13.1","1.5","36.0","8","5","55.4","19.4","1","1120.71","3256","0","Female","Positive"
"2215","0","1.0","8","True","0.1875","1.3","0","21","1.3","9.0","15.5","2.7","86.8","2","9.0","197.47","9","59.6","6.0","39.2","8","1","22.5","16.8","2","1644.16","1666","0","Male","Positive"
"2219","0","5.0","2","True","0.35","2.2","1","29","2.2","6.0","14.3","1.9","61.9","1","14.0","71.83","16","55.5","2.8","1.8","5","0","17.8","7.5","1","850.49","749","0","Female","Positive"
"2226","0","4.0","9","True","-0.033333333","1.3","0","42","1.3","14.0","25.3","12.1","41.7","3","16.0","76.6","14","44.6","5.4","20.6","4","4","55.9","15.2","3","1398.12","1259","0","Female","Neutral"
"2230","2","1.0","3","True","-0.12","2.4","1","36","2.4","13.0","16.5","6.6","79.2","3","7.0","89.41","34","72.5","9.7","18.8","5","1","17.2","6.8","2","606.21","209","0","Female","Negative"
"2232","0","1.0","5","True","-0.24","2.3","1","51","2.3","7.0","12.9","7.5","85.4","0","4.0","80.33","6","75.3","9.1","27.6","4","0","11.4","9.6","4","260.1","486","0","Male","Negative"
"2233","0","5.0","1","True","0.48","3.6","2","36","3.6","10.0","38.5","8.3","59.0","3","14.3","180.43","58","26.64","1.6","27.5","2","2","25.6","21.5","1","1942.1","2283","0","Male","Positive"
"2235","4","4.0","3","True","0.189136905","2.8","2","48","2.8","13.0","27.6","9.3","53.7","4","11.7","91.47","44","32.04","3.0","19.8","1","3","11.3","24.9","1","772.69","1666","0","Male","Positive"
"2236","0","5.0","4","True","0.3640625","1.3","0","31","1.3","1.0","15.6","5.9","72.8","0","7.0","141.76","53","51.7","1.0","0.0","10","0","7.1","15.6","1","1090.36","0","1","Female","Positive"
"2240","0","5.0","8","True","0.633333333","4.0","2","46","4.0","7.0","25.3","9.3","43.0","3","11.0","132.29","17","77.3","4.0","9.9","2","3","5.3","23.2","1","1282.37","3117","0","Male","Positive"
"2242","0","5.0","10","True","0.16","2.2","1","44","2.2","8.0","25.7","8.5","51.2","2","21.0","278.18","10","26.7","21.2","23.5","6","1","33.0","32.2","2","4883.18","1255","1","Female","Positive"
"2247","8","5.0","5","True","0.035208333","0.9","0","51","0.9","8.0","7.8","6.3","87.9","0","9.0","139.99","22","23.7","6.0","3.4","9","0","35.2","15.2","4","1191.74","2138","1","Male","Neutral"
"2248","0","5.0","6","True","0.35","1.4","0","31","1.4","17.0","45.2","13.1","13.6","3","22.0","108.48","19","58.3","1.5","40.2","1","9","60.4","31.9","2","2678.34","3843","0","Female","Positive"
"2249","2","3.0","7","True","0.2","1.4","0","47","1.4","20.0","41.1","12.1","43.9","4","31.2","71.73","30","105.36","3.2","34.1","3","9","49.3","33.4","3","1909.23","1659","0","Male","Positive"
"2251","0","4.0","9","True","0.4","3.8","2","60","3.8","4.0","22.3","6.0","51.6","1","16.9","148.39","61","98.04","5.2","7.1","5","0","24.2","18.6","3","2283.0","3038","1","Female","Positive"
"2253","5","5.0","1","True","0.165692641","2.0","1","33","2.0","4.0","1.0","2.8","81.9","2","1.3","238.7","13","96.0","4.3","0.0","5","0","0.0","0.0","1","237.66","639","1","Male","Positive"
"2255","7","4.0","3","True","0.298333333","2.5","1","34","2.5","0.0","13.1","3.3","58.2","3","7.0","72.09","22","46.1","3.9","8.5","5","0","20.6","14.9","3","496.8","1343","0","Female","Positive"
"2256","2","5.0","4","True","0.08","4.0","2","47","4.0","5.0","26.5","6.6","54.4","3","13.0","90.59","16","11.16","3.5","11.3","11","1","13.7","17.7","4","1075.64","1703","0","Female","Neutral"
"2257","0","5.0","5","True","0.6","4.7","2","18","4.7","11.0","18.9","14.8","54.5","7","14.3","124.97","96","33.84","8.3","5.3","6","5","48.8","26.9","2","1185.91","2162","0","Male","Positive"
"2263","15","5.0","1","True","0.125543478","1.7","1","35","1.7","3.0","22.6","5.7","63.8","4","12.0","217.51","24","82.3","2.9","6.4","5","2","0.0","6.9","1","2101.06","0","0","Male","Positive"
"2266","0","5.0","4","True","0.55","0.7","0","26","0.7","28.0","41.3","9.2","44.3","2","16.0","64.89","6","38.8","7.1","30.9","8","5","59.7","26.1","2","1245.43","3063","0","Female","Positive"
"2268","0","5.0","6","True","0.326","2.4","1","49","2.4","17.0","37.0","12.5","73.5","3","16.0","71.03","39","38.3","9.7","16.5","3","6","38.7","22.5","3","1302.55","2414","0","Female","Positive"
"2269","0","5.0","7","True","0.8","3.0","2","44","3.0","20.0","40.2","9.0","33.5","4","14.0","158.95","5","21.2","3.7","24.8","5","5","36.0","30.4","2","2185.39","2587","0","Female","Positive"
"2271","0","4.0","9","True","0.163467262","2.6","2","50","2.6","12.0","28.2","6.5","57.8","4","8.0","150.58","33","61.6","24.0","23.0","4","2","5.6","17.1","4","1198.69","1725","0","Male","Positive"
"2273","0","5.0","1","True","0.283333333","3.4","2","46","3.4","12.0","29.2","5.0","38.0","3","10.0","80.62","33","51.7","21.1","24.2","7","2","25.3","22.1","1","929.39","1729","0","Male","Positive"
"2274","0","5.0","2","True","0.238888889","2.4","1","30","2.4","9.0","17.4","9.9","56.8","3","10.4","140.05","62","28.44","3.2","6.1","8","3","24.4","13.7","3","962.43","3104","0","Male","Positive"
"2278","0","5.0","4","True","0.115617716","3.5","2","36","3.5","7.0","20.6","3.1","57.8","8","11.7","100.94","7","16.92","21.5","21.3","6","4","37.5","6.8","3","854.99","1889","0","Male","Positive"
"2288","2","5.0","4","True","0.225925926","0.6","0","64","0.6","18.0","37.3","10.3","31.7","6","18.0","181.26","43","39.5","6.4","24.4","5","3","57.0","33.6","5","3270.45","2938","0","Female","Positive"
"2289","0","4.0","5","True","0.15978836","4.0","2","35","4.0","13.0","17.8","6.4","63.7","3","8.0","105.9","38","13.6","2.5","29.6","2","4","28.0","11.7","1","717.49","2305","0","Female","Positive"
"2294","0","5.0","10","True","0.383333333","1.7","1","30","1.7","0.0","24.8","5.6","62.8","0","8.0","85.55","52","21.8","8.7","15.8","7","3","25.0","12.8","2","684.04","513","0","Male","Positive"
"2295","0","5.0","1","True","0.275","2.4","1","40","2.4","2.0","12.4","5.6","74.2","1","2.0","124.55","34","31.6","15.3","2.1","5","0","15.8","12.8","1","257.58","2294","1","Female","Positive"
"2297","12","4.0","3","True","0.198275862","1.0","0","22","1.0","16.0","32.6","7.5","62.3","2","11.0","85.09","11","15.2","7.4","7.1","6","4","32.2","15.9","2","908.74","695","1","Male","Positive"
"2298","3","5.0","4","True","0.59","9.1","2","30","9.1","15.0","24.0","10.9","65.4","3","14.0","74.27","9","13.9","4.8","16.1","6","2","34.4","18.6","3","840.44","2827","0","Male","Positive"
"2302","5","3.0","8","True","0.246891026","3.8","2","21","3.8","20.0","37.0","10.5","53.8","8","15.0","119.5","7","15.3","6.2","39.7","3","1","51.0","35.0","2","1812.78","2495","1","Male","Positive"
"2303","0","4.0","9","True","0.319444444","6.7","2","37","6.7","10.0","22.6","5.0","71.2","5","9.0","146.32","7","50.3","8.9","13.3","3","2","0.0","13.7","5","1129.99","1987","0","Female","Positive"
"2305","0","5.0","1","True","0.205555556","0.5","0","47","0.5","8.0","22.9","7.9","45.6","7","15.6","122.37","17","25.56","3.5","36.3","5","3","29.2","21.8","3","1690.23","186","1","Female","Positive"
"2306","5","5.0","2","True","0.189733333","0.5","0","38","0.5","25.0","35.5","14.6","46.7","10","20.8","47.83","4","67.92","7.8","31.8","5","3","48.5","31.0","3","657.0","4491","0","Male","Positive"
"2307","0","4.0","3","True","0.4","1.0","0","20","1.0","0.0","16.2","5.2","63.0","3","5.0","112.16","17","16.9","5.1","0.0","9","0","29.4","7.6","3","636.58","422","1","Male","Positive"
"2310","0","5.0","6","True","0.6375","4.5","2","41","4.5","8.0","28.5","7.5","44.5","1","24.7","50.43","23","3.12","0.1","36.6","5","3","38.4","19.1","1","990.62","639","0","Male","Positive"
"2312","0","5.0","8","True","0.558333333","1.1","0","18","1.1","26.0","24.1","10.6","64.2","2","16.0","139.84","6","61.7","1.1","30.6","7","1","20.6","19.4","2","1859.97","2892","0","Female","Positive"
"2315","0","5.0","1","True","0.033441558","0.9","0","46","0.9","17.0","50.6","12.4","50.0","4","26.0","125.76","44","15.8","4.4","52.7","7","4","65.9","20.2","2","2985.69","3244","1","Female","Neutral"
"2318","0","5.0","4","True","0.6","0.9","0","34","0.9","22.0","41.2","16.1","25.0","8","24.0","108.33","12","22.0","9.3","52.5","9","9","57.2","27.9","3","2974.8","2855","1","Female","Positive"
"2322","0","4.0","8","True","0.20625","2.5","1","60","2.5","17.0","27.3","9.9","72.8","4","10.4","117.23","42","48.84","5.7","21.5","11","2","19.0","10.6","1","898.17","1378","0","Female","Positive"
"2327","6","4.0","3","True","0.194009217","4.8","2","18","4.8","14.0","27.9","9.0","49.3","1","11.0","116.34","39","15.0","14.6","0.0","3","2","16.9","26.0","5","1393.91","942","1","Female","Positive"
"2329","4","5.0","5","True","0.284188988","6.9","2","44","6.9","0.0","23.8","4.8","100.0","1","5.0","53.59","2","53.0","4.3","0.0","7","2","0.2","11.8","4","290.07","1985","0","Male","Positive"
"2330","0","5.0","6","True","0.33","2.4","1","19","2.4","8.0","12.6","5.4","52.2","0","15.0","147.74","15","53.3","7.8","26.3","5","0","15.6","11.4","2","2139.1","1736","0","Other","Positive"
"2331","3","5.0","7","True","0.133333333","3.2","2","48","3.2","13.0","24.6","11.6","54.7","5","20.8","75.52","1","59.52","1.0","15.0","1","2","32.8","20.5","4","1142.27","609","0","Male","Positive"
"2332","5","5.0","8","True","0.132447444","2.4","1","32","2.4","13.0","22.1","12.1","43.8","4","12.0","144.54","46","69.2","25.8","36.0","9","2","36.9","24.3","1","1723.15","2422","0","Male","Positive"
